BJD,Norm Flux,Norm Err,AM
2461112.50333798,0.9934165,0.004269,1.58
2461112.50405664,0.9967487,0.004269,1.57
2461112.5047869,0.9953114,0.004269,1.57
2461112.50551695,1.0022562,0.004269,1.56
2461112.50623981,0.9976367,0.004269,1.56
2461112.50695847,0.998749,0.004269,1.55
2461112.50768862,1.0030591,0.004269,1.55
2461112.50841888,0.9961715,0.004269,1.54
2461112.50913754,0.9940843,0.004269,1.54
2461112.50986769,0.9985706,0.004269,1.53
2461112.51059785,0.9972672,0.004269,1.53
2461112.51132811,0.9937553,0.004269,1.52
2461112.51205836,1.0065452,0.004269,1.52
2461112.51278852,1.0058079,0.004269,1.51
2461112.51351887,0.9972425,0.004269,1.51
2461112.51423743,0.9960248,0.004269,1.51
2461112.51496789,0.9999544,0.004269,1.5
2461112.51569814,1.0087085,0.004269,1.5
2461112.5164168,1.0001617,0.004269,1.49
2461112.51786581,1.0044237,0.004269,1.48
2461112.51858437,1.0087203,0.004269,1.48
2461112.51931453,0.9958569,0.004269,1.48
2461112.52003318,1.0074704,0.004269,1.47
2461112.52076344,1.0037856,0.004269,1.47
2461112.5214821,1.0031158,0.004269,1.46
2461112.52221235,1.0084302,0.004269,1.46
2461112.52294261,0.9995232,0.004269,1.46
2461112.52369606,0.9928471,0.004269,1.45
2461112.52441482,1.0039293,0.004269,1.45
2461112.52514498,0.9986114,0.004269,1.44
2461112.52586363,0.995685,0.004269,1.44
2461112.52731245,1.0030693,0.004268,1.43
2461112.5280313,1.00153,0.004268,1.43
2461112.52879646,1.0019315,0.004268,1.43
2461112.52951511,0.9987506,0.004268,1.42
2461112.53024537,1.0029217,0.004268,1.42
2461112.53096403,0.9950248,0.004268,1.42
2461112.53168268,1.0004614,0.004268,1.41
2461112.53241294,1.0067199,0.004268,1.41
2461112.5331315,1.002393,0.004268,1.41
2461112.53386185,1.001878,0.004268,1.4
2461112.53458051,0.9947829,0.004268,1.4
2461112.53531067,1.0069229,0.004268,1.4
2461112.53602952,1.0012759,0.004268,1.4
2461112.53679458,1.0042604,0.004268,1.39
2461112.53751323,0.9960427,0.004268,1.39
2461112.53824339,1.0029193,0.004268,1.39
2461112.53896215,0.9945993,0.004268,1.38
2461112.5396808,0.9963578,0.004268,1.38
2461112.54041096,1.0028256,0.004268,1.38
2461112.54112962,1.0007872,0.004268,1.38
2461112.54184837,0.9995084,0.004268,1.37
2461112.54257863,0.9964638,0.004268,1.37
2461112.54330888,1.0020061,0.004268,1.37
2461112.54402754,0.9936096,0.004268,1.37
2461112.5447461,1.0031957,0.004268,1.36
2461112.54547635,0.9993949,0.004268,1.36
2461112.54619511,0.9998581,0.004268,1.36
2461112.54692527,0.996696,0.004268,1.36
2461112.54764402,1.001155,0.004268,1.35
2461112.54837418,1.0049986,0.004268,1.35
2461112.54910444,1.000896,0.004268,1.35
2461112.54984619,0.9956404,0.004268,1.35
2461112.55056485,0.9934078,0.004268,1.35
2461112.5512837,0.9973761,0.004268,1.34
2461112.55201396,0.9995872,0.004268,1.34
2461112.55273262,0.995189,0.004268,1.34
2461112.55346287,0.9918198,0.004268,1.34
2461112.55418153,0.9903818,0.004268,1.34
2461112.55491169,0.9892492,0.004268,1.33
2461112.55564184,0.9872244,0.004268,1.33
2461112.5563607,0.9909706,0.004268,1.33
2461112.55707935,0.9934556,0.004268,1.33
2461112.55780981,0.9876647,0.004268,1.33
2461112.55852867,0.9834315,0.004268,1.32
2461112.55925892,0.9920099,0.004268,1.32
2461112.55997768,0.9908541,0.004268,1.32
2461112.56074273,0.985922,0.004268,1.32
2461112.56147299,0.9848575,0.004268,1.32
2461112.56219165,0.981431,0.004268,1.32
2461112.5629451,0.982257,0.004268,1.31
2461112.56366376,0.9921195,0.004268,1.31
2461112.56439401,0.9914091,0.004268,1.31
2461112.56511267,0.9888781,0.004268,1.31
2461112.56583143,0.983329,0.004268,1.31
2461112.56656158,0.9867635,0.004268,1.31
2461112.56728024,0.9813721,0.004268,1.31
2461112.56804529,0.9929064,0.004268,1.3
2461112.56877545,0.9907435,0.004268,1.3
2461112.5695058,0.9864165,0.004268,1.3
2461112.57022436,0.9817285,0.004268,1.3
2461112.57095472,0.9858101,0.004268,1.3
2461112.57168497,0.98073,0.004268,1.3
2461112.57240353,0.9851202,0.004268,1.3
2461112.57313378,0.9831438,0.004268,1.3
2461112.57385244,0.9877929,0.004268,1.3
2461112.5745826,0.9882272,0.004268,1.29
2461112.57531275,0.986331,0.004268,1.29
2461112.57603151,0.9878724,0.004268,1.29
2461112.57676167,0.9900241,0.004268,1.29
2461112.57748032,0.9841061,0.004268,1.29
2461112.57821058,0.9845969,0.004268,1.29
2461112.57892923,0.9874563,0.004268,1.29
2461112.57964799,0.9836693,0.004268,1.29
2461112.58037835,0.9883352,0.004268,1.29
2461112.5810971,0.9832417,0.004268,1.29
2461112.58182746,0.9803866,0.004268,1.29
2461112.58255761,0.9836788,0.004268,1.29
2461112.58327627,0.9793362,0.004268,1.29
2461112.58400663,0.9826648,0.004268,1.28
2461112.58472528,0.9829202,0.004268,1.28
2461112.58545564,0.9880342,0.004268,1.28
2461112.5861744,0.9781996,0.004268,1.28
2461112.58690475,0.9850363,0.004268,1.28
2461112.58763511,0.9848122,0.004268,1.28
2461112.58835376,0.9873507,0.004268,1.28
2461112.58908422,0.9818327,0.004268,1.28
2461112.58981457,0.9842676,0.004268,1.28
2461112.59053323,0.9888789,0.004268,1.28
2461112.59129828,0.9866391,0.004268,1.28
2461112.59202854,0.9816903,0.004268,1.28
2461112.5927588,0.9812158,0.004268,1.28
2461112.59347745,0.98476,0.004268,1.28
2461112.59419601,0.9874857,0.004268,1.28
2461112.59492626,0.9848845,0.004268,1.28
2461112.59564502,0.9834805,0.004268,1.28
2461112.59640987,0.9866255,0.004268,1.28
2461112.59712853,0.9833511,0.004268,1.28
2461112.59785889,0.9839725,0.004268,1.28
2461112.59858914,0.9809169,0.004268,1.28
2461112.5993078,0.9847523,0.004268,1.28
2461112.60002635,0.9875218,0.004268,1.28
2461112.60075661,0.9768022,0.004268,1.28
2461112.60148687,0.9766732,0.004268,1.28
2461112.60220542,0.9836817,0.004268,1.28
2461112.60293578,0.98541,0.004268,1.28
2461112.60366593,0.9819646,0.004268,1.28
2461112.60438469,0.9807564,0.004268,1.28
2461112.60510345,0.9810627,0.004268,1.28
2461112.6058338,0.9807668,0.004268,1.28
2461112.60655256,0.9826185,0.004268,1.28
2461112.60728271,0.9883335,0.004268,1.28
2461112.60800127,0.9768231,0.004268,1.28
2461112.60871993,0.9851186,0.004268,1.28
2461112.60943868,0.9867381,0.004268,1.28
2461112.61016894,0.9837081,0.004268,1.28
2461112.61088769,0.9857081,0.004268,1.28
2461112.61161795,0.9870947,0.004268,1.28
2461112.61233651,0.9825119,0.004268,1.28
2461112.61306686,0.9834408,0.004268,1.28
2461112.61379712,0.9862924,0.004268,1.29
2461112.61451577,0.9837194,0.004268,1.29
2461112.61524613,0.9845673,0.004268,1.29
2461112.61597628,0.9845186,0.004268,1.29
2461112.61669494,0.9835278,0.004268,1.29
2461112.61745989,0.9821358,0.004268,1.29
2461112.61817845,0.9821997,0.004268,1.29
2461112.61890861,0.9815403,0.004268,1.29
2461112.61966206,0.9873782,0.004268,1.29
2461112.62038062,0.9814279,0.004268,1.29
2461112.62111087,0.9853762,0.004268,1.29
2461112.62184113,0.9866464,0.004268,1.29
2461112.62255978,0.9816087,0.004268,1.29
2461112.62328994,0.9774412,0.004268,1.3
2461112.62400859,0.9811189,0.004268,1.3
2461112.62476195,0.9821926,0.004268,1.3
2461112.6254806,0.9827628,0.004268,1.3
2461112.62621086,0.9806669,0.004268,1.3
2461112.62694102,0.9840354,0.004268,1.3
2461112.62765957,0.9836893,0.004268,1.3
2461112.62838973,0.9869942,0.004268,1.3
2461112.62916648,0.9746513,0.004268,1.3
2461112.62989673,0.9844822,0.004268,1.31
2461112.63062699,0.9858295,0.004268,1.31
2461112.63134555,0.9846776,0.004268,1.31
2461112.6320758,0.9880954,0.004268,1.31
2461112.63280606,0.9893028,0.004268,1.31
2461112.63352471,0.9871522,0.004268,1.31
2461112.63425487,0.9885575,0.004268,1.31
2461112.63498502,0.9805424,0.004268,1.32
2461112.63570378,0.9847716,0.004268,1.32
2461112.63643404,0.9922752,0.004268,1.32
2461112.63715259,0.9925648,0.004268,1.32
2461112.63789455,0.9888765,0.004268,1.32
2461112.6386247,0.9892166,0.004268,1.32
2461112.63934326,0.9846348,0.004268,1.33
2461112.64007361,0.9892279,0.004268,1.33
2461112.64080407,0.990099,0.004268,1.33
2461112.64152282,0.9832163,0.004268,1.33
2461112.64225318,0.9893937,0.004268,1.33
2461112.64297204,0.984151,0.004268,1.34
2461112.64370229,0.9851023,0.004268,1.34
2461112.64442085,0.9866831,0.004268,1.34
2461112.6451396,0.9888819,0.004268,1.34
2461112.64586986,0.9969847,0.004268,1.34
2461112.64660011,0.9893077,0.004268,1.35
2461112.64731887,0.9908688,0.004268,1.35
2461112.64803753,0.9930428,0.004268,1.35
2461112.64876778,0.9889967,0.004268,1.35
2461112.64948634,0.9966234,0.004268,1.35
2461112.65021649,1.0026731,0.004268,1.36
2461112.65094685,0.9890242,0.004268,1.36
2461112.6516655,1.0000145,0.004268,1.36
2461112.65239576,0.9926019,0.004268,1.36
2461112.65311442,0.9949452,0.004268,1.37
2461112.65384457,0.9910662,0.004268,1.37
2461112.65456313,0.9945419,0.004268,1.37
2461112.65528198,1.0010965,0.004268,1.37
2461112.65600054,1.0010071,0.004268,1.38
2461112.65673079,0.9971613,0.004268,1.38
2461112.65744945,0.9965986,0.004268,1.38
2461112.6581797,1.0020065,0.004268,1.38
2461112.65890996,1.0068196,0.004268,1.39
2461112.65962872,1.0021364,0.004268,1.39
2461112.66035887,1.0047808,0.004268,1.39
2461112.66107753,1.0007309,0.004268,1.4
2461112.66180768,0.9983488,0.004268,1.4
2461112.66252634,1.003006,0.004268,1.4
2461112.66324489,1.0027542,0.004268,1.4
2461112.66397515,1.0,0.004268,1.41
2461112.66469381,0.9993413,0.004268,1.41
2461112.66542396,0.9969237,0.004268,1.41
2461112.66615422,0.9960666,0.004268,1.42
2461112.66687297,1.0075023,0.004268,1.42
2461112.66759153,1.0012788,0.004268,1.42
2461112.66832178,0.9974791,0.004268,1.43
2461112.66904044,1.0044317,0.004268,1.43
2461112.66977069,0.9946902,0.004268,1.43
2461112.67050095,0.9989316,0.004269,1.44
2461112.6712196,0.9988883,0.004269,1.44
2461112.67196146,0.9933129,0.004269,1.44
2461112.67268012,1.0015443,0.004269,1.45
2461112.67339877,0.9932235,0.004269,1.45
2461112.67412903,0.9987541,0.004269,1.45
2461112.67484768,1.005622,0.004269,1.46
2461112.67557794,1.0030671,0.004269,1.46
2461112.67629669,0.9991401,0.004269,1.47
2461112.67702695,1.0043164,0.004269,1.47
2461112.6777571,0.9956787,0.004269,1.47
2461112.67848726,1.0071727,0.004269,1.48
2461112.67920601,0.9931811,0.004269,1.48
2461112.67992457,0.9916923,0.004269,1.49
2461112.68065482,0.9977883,0.004269,1.49
2461112.68138508,0.9921431,0.004269,1.5
2461112.68210374,0.9990732,0.004269,1.5
2461112.68285709,0.9995345,0.004269,1.5
2461112.68358734,1.0026297,0.004269,1.51
2461112.6843059,0.9962867,0.004269,1.51
2461112.68503616,1.005448,0.004269,1.52
2461112.68576631,0.9952061,0.004269,1.52
2461112.68648497,1.0009058,0.004269,1.53
2461112.68720352,1.0003795,0.004269,1.53
2461112.68793378,0.9968812,0.004269,1.54
2461112.68865243,1.0033932,0.004269,1.54
2461112.68938269,0.9972032,0.004269,1.55
2461112.69010134,0.9932496,0.004269,1.55
2461112.6908316,0.9973415,0.004269,1.56
2461112.69155025,0.9984565,0.004269,1.56
2461112.69228051,1.0090983,0.004269,1.57
2461112.69299906,1.0061438,0.004269,1.57
2461112.69371772,1.0009516,0.004269,1.58
2461112.69444798,1.0053651,0.004269,1.58
2461112.69517823,0.999878,0.004269,1.59
2461112.69589689,1.0030711,0.004269,1.6
2461112.69662704,0.9943592,0.004269,1.6
2461112.6973574,1.0013061,0.004269,1.61
2461112.69807605,1.001476,0.004269,1.61
2461112.69880631,1.0043942,0.004269,1.62
