#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-36
#EXOPLANET_NAME=HAT-P-36 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=elp0m400-sq44-20260318-0132-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=1.327346813 +/- 9.7e-08,Rp/R*=0.126 +/- 0.0011,a/R*=4.67 +/- 0.035,inc=85.2 +/- 0.65,ecc=0.063,u0=1.985 +/- 0.017,u1=-3.424 +/- 0.068,u2=3.814 +/- 0.088,u3=-1.374 +/- 0.037
#PRIORS-XC={"Period": {"value": "1.327346813", "uncertainty": "9.7e-08", "units": "days"}, "Rp/R*": {"value": "0.126", "uncertainty": "0.0011"}, "a/R*": {"value": "4.67", "uncertainty": "0.035"}, "inc": {"value": "85.2", "uncertainty": "0.65", "units": "degrees"}, "ecc": {"value": "0.063", "uncertainty": null}, "u0": {"value": "1.985", "uncertainty": "0.017"}, "u1": {"value": "-3.424", "uncertainty": "0.068"}, "u2": {"value": "3.814", "uncertainty": "0.088"}, "u3": {"value": "-1.374", "uncertainty": "0.037"}}
#RESULTS=Tc=2461118.8009 +/- 0.0055,Rp/R*=0.1574 +/- 0.0077,inc=89.0 +/- 2.22,Am1=9.28 +/- 0.39,Am2=-2.12 +/- 0.15
#RESULTS-XC={"Tc": {"value": "2461118.8009", "uncertainty": "0.0055", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1574", "uncertainty": "0.0077"}, "inc": {"value": "89.0", "uncertainty": "2.22"}, "Am1": {"value": "9.28", "uncertainty": "0.39"}, "Am2": {"value": "-2.12", "uncertainty": "0.15"}, "Duration": {"value": "0.099", "uncertainty": "0.0019", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461118.71412796,0.7636829,0.073663,1.2124182,0.7134216
2461118.71484655,0.7605689,0.0738111,1.2098009,0.7173839
2461118.71556524,0.7415312,0.0739594,1.2071848,0.7213663
2461118.71701422,0.7332386,0.074251,1.2020575,0.7292356
2461118.71919338,0.7365186,0.0746813,1.194527,0.7409493
2461118.71991207,0.7422399,0.0748221,1.1920736,0.7448061
2461118.72063076,0.7716311,0.0749616,1.1896448,0.7486439
2461118.72136105,0.7658785,0.0751002,1.1872383,0.752466
2461118.72207974,0.7606785,0.0752383,1.1848438,0.7562885
2461118.72279843,0.7408818,0.075374,1.1824961,0.760055
2461118.72352862,0.7395986,0.0755092,1.180161,0.76382
2461118.72424721,0.7464121,0.0756432,1.1778501,0.7675643
2461118.7249658,0.7471825,0.0757768,1.1755514,0.7713071
2461118.72569599,0.7572272,0.0759079,1.1732976,0.7749944
2461118.72641468,0.739186,0.0760393,1.1710447,0.7786979
2461118.72713336,0.7390822,0.0761689,1.1688251,0.782364
2461118.72858224,0.7509987,0.0764255,1.1644431,0.7896524
2461118.72930093,0.7819464,0.0765512,1.1623005,0.7932408
2461118.73001962,0.8134972,0.0766765,1.1601692,0.7968264
2461118.73436676,0.797887,0.0774074,1.1478067,0.8179467
2461118.73508545,0.822049,0.0775251,1.1458264,0.8213815
2461118.73580404,0.81885,0.0776419,1.1438656,0.8247967
2461118.73653422,0.8175852,0.0777581,1.1419158,0.8282069
2461118.73725291,0.8013156,0.0778722,1.1400048,0.8315628
2461118.7379715,0.8173976,0.0779864,1.1380956,0.8349292
2461118.73870169,0.8092812,0.078099,1.1362158,0.838257
2461118.73942028,0.8042116,0.0782105,1.1343562,0.8415621
2461118.74013887,0.8114559,0.0783215,1.132508,0.8448599
2461118.74086916,0.8170004,0.0784304,1.1306972,0.8481035
2461118.74158775,0.7924438,0.0785394,1.1288884,0.8513559
2461118.74230654,0.8034613,0.0786467,1.1271081,0.8545693
2461118.74302513,0.8107543,0.0787531,1.1253474,0.8577592
2461118.74375542,0.8113976,0.0788584,1.1236065,0.8609249
2461118.744474,0.8289426,0.0789626,1.1218844,0.864068
2461118.74519269,0.8319811,0.0790659,1.1201818,0.8671867
2461118.74592298,0.8453812,0.079168,1.1184988,0.8702807
2461118.74664157,0.8416961,0.0792697,1.1168269,0.8733651
2461118.74736016,0.85645,0.0793703,1.1151736,0.8764259
2461118.74809045,0.8692555,0.079471,1.1135218,0.8794947
2461118.74882074,0.8810275,0.0795701,1.1118972,0.8825235
2461118.74955083,0.8872837,0.0796674,1.1103053,0.8855014
2461118.75026962,0.871648,0.0797637,1.1087309,0.8884564
2461118.75098831,0.873317,0.0798589,1.1071764,0.8913838
2461118.751707,0.8772029,0.0799531,1.1056404,0.8942858
2461118.75243729,0.9019725,0.0800464,1.104121,0.8971658
2461118.75315597,0.9053072,0.0801386,1.1026203,0.9000194
2461118.75387476,0.8976027,0.0802299,1.1011371,0.9028486
2461118.75460495,0.9121348,0.0803201,1.0996731,0.90565
2461118.75532354,0.9062263,0.0804097,1.0982196,0.9084398
2461118.75604223,0.9069044,0.0804979,1.0967903,0.9111916
2461118.75676102,0.9088644,0.0805852,1.0953788,0.9139173
2461118.75749111,0.9178996,0.0806714,1.0939844,0.9166179
2461118.7582097,0.9219063,0.0807572,1.0925998,0.9193075
2461118.75892839,0.9172827,0.0808415,1.0912396,0.9219574
2461118.75965868,0.8947419,0.0809249,1.0898969,0.9245807
2461118.76037737,0.9107021,0.0810077,1.0885639,0.9271924
2461118.76109595,0.9260232,0.0810891,1.0872547,0.9297646
2461118.76181454,0.9289741,0.0811696,1.0859621,0.9323113
2461118.76254473,0.9359796,0.0812495,1.0846799,0.9348443
2461118.76326342,0.932799,0.081328,1.0834213,0.9373374
2461118.76398211,0.9452085,0.0814056,1.0821787,0.9398054
2461118.7647122,0.9343507,0.0814822,1.0809525,0.9422471
2461118.76543089,0.9345015,0.0815583,1.0797372,0.9446734
