#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=KELT-7
#EXOPLANET_NAME=KELT-7 b
#BINNING=1x1
#EXPOSURE_TIME=1.452
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Exoplanet Watch .4 Meter; camera type=CCD; first image=ogg0m406-kb27-20170106-0041-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "Clear (unfiltered) reduced to V sequence", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=2.7347656 +/- 2e-07,Rp/R*=0.095964 +/- 9.8e-05,a/R*=5.53 +/- 0.04,inc=83.8 +/- 0.4,ecc=0.0,u0=2.198 +/- 0.022,u1=-3.943 +/- 0.087,u2=4.36 +/- 0.11,u3=-1.61 +/- 0.047
#PRIORS-XC={"Period": {"value": "2.7347656", "uncertainty": "2e-07", "units": "days"}, "Rp/R*": {"value": "0.095964", "uncertainty": "9.8e-05"}, "a/R*": {"value": "5.53", "uncertainty": "0.04"}, "inc": {"value": "83.8", "uncertainty": "0.4", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.198", "uncertainty": "0.022"}, "u1": {"value": "-3.943", "uncertainty": "0.087"}, "u2": {"value": "4.36", "uncertainty": "0.11"}, "u3": {"value": "-1.61", "uncertainty": "0.047"}}
#RESULTS=Tc=2457758.16469 +/- 0.00097,Rp/R*=0.119 +/- 0.035,inc=85.81 +/- 2.87,Am1=0.0378 +/- 0.0066,Am2=3.0 +/- 1.98
#RESULTS-XC={"Tc": {"value": "2457758.16469", "uncertainty": "0.00097", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.119", "uncertainty": "0.035"}, "inc": {"value": "85.81", "uncertainty": "2.87"}, "Am1": {"value": "0.0378", "uncertainty": "0.0066"}, "Am2": {"value": "3.0", "uncertainty": "1.98"}, "Duration": {"value": "0.022", "uncertainty": "0.0092", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2457760.79767153,1.0385989,0.1470159,1.0924443,1.0010707
2457760.79794092,0.7352726,0.1470161,1.0918573,0.9993102
2457760.79822481,1.0357356,0.1470163,1.0912031,0.9973519
2457760.7984871,0.7433427,0.1470165,1.0906432,0.9956788
2457760.79873069,1.0384885,0.1470166,1.0900711,0.9939722
2457760.79902127,0.7374401,0.1470168,1.0894533,0.9921326
2457760.79931396,1.0107997,0.147017,1.0887831,0.9901407
2457760.79958145,0.7349941,0.1470172,1.0882192,0.9884679
2457760.79995183,1.0392161,0.1470174,1.0873938,0.9860245
2457760.800577,0.7446266,0.1470178,1.0860673,0.9821103
2457760.8007973,1.0450644,0.1470179,1.0855697,0.980646
2457760.80106408,0.7528749,0.1470181,1.0850309,0.9790629
2457760.80128737,1.0386141,0.1470182,1.0845387,0.977619
2457760.80154936,0.750775,0.1470184,1.0840056,0.9760574
2457760.80177495,1.0519664,0.1470185,1.0835224,0.9746442
2457760.80204214,0.7493219,0.1470187,1.0829696,0.97303
2457760.80229783,1.0433264,0.1470189,1.0824289,0.9714537
2457760.80258842,0.7443532,0.147019,1.0818536,0.9697793
2457760.8028439,1.0285725,0.1470192,1.081306,0.9681882
2457760.80313509,0.7375509,0.1470194,1.0807332,0.9665267
2457760.80337868,1.0534537,0.1470195,1.0802176,0.9650336
2457760.80364597,0.7491768,0.1470197,1.0796981,0.9635314
2457760.80391786,1.0443986,0.1470198,1.079134,0.961903
2457760.80417844,0.7439613,0.14702,1.0786345,0.9604634
2457760.80442233,1.043601,0.1470201,1.0781306,0.9590132
2457760.80476692,0.7329869,0.1470203,1.0774693,0.9571134
2457760.80504141,1.0459568,0.1470205,1.0769143,0.9555219
2457760.80535599,0.7422423,0.1470206,1.0763261,0.9538381
2457760.80562278,1.0432744,0.1470208,1.0757862,0.9522952
2457760.80591827,0.7389488,0.147021,1.0752377,0.9507302
2457760.80615466,1.0324471,0.1470211,1.0747637,0.9493799
2457760.80640345,0.7414044,0.1470212,1.0743122,0.9480954
2457760.80665874,1.0,0.1470214,1.0738056,0.9466563
2457760.80693252,0.7475391,0.1470215,1.0733153,0.9452655
2457760.80719751,1.047253,0.1470217,1.0727942,0.9437896
2457760.8074598,0.742328,0.1470218,1.0723247,0.9424619
2457760.80775059,1.0355835,0.147022,1.0717685,0.9408914
2457760.80801738,0.7543919,0.1470221,1.0712945,0.939555
2457760.80831966,1.0103119,0.1470223,1.0707257,0.9379539
2457760.80857495,0.7514116,0.1470224,1.0702777,0.9366947
2457760.80881634,1.0434978,0.1470225,1.0698251,0.9354243
2457760.80919852,0.7389796,0.1470227,1.0691598,0.9335601
