BJD,Norm Flux,Norm Err,AM
2460212.57470568,0.9982305,0.003796,1.07
2460212.57526196,0.996848,0.003796,1.07
2460212.57584155,0.9984332,0.003796,1.07
2460212.57638623,0.9993508,0.003796,1.07
2460212.57752219,0.9954092,0.003796,1.06
2460212.57810168,0.998326,0.003796,1.06
2460212.57865796,0.9991525,0.003796,1.06
2460212.57924914,0.9991207,0.003796,1.06
2460212.57979402,0.9989779,0.003796,1.06
2460212.5803851,1.0000588,0.003796,1.06
2460212.58092989,0.9970609,0.003796,1.06
2460212.58150927,0.9972905,0.003796,1.06
2460212.58206565,0.9961841,0.003796,1.06
2460212.58265673,0.9955209,0.003796,1.05
2460212.58320162,0.994558,0.003796,1.05
2460212.5837929,0.9967013,0.003796,1.05
2460212.58433768,0.9965531,0.003796,1.05
2460212.58491716,0.9929148,0.003796,1.05
2460212.58547355,0.9956704,0.003796,1.05
2460212.58605313,0.996082,0.003796,1.05
2460212.58660951,0.99458,0.003796,1.05
2460212.58718899,0.9954057,0.003796,1.05
2460212.58774537,0.9943568,0.003796,1.05
2460212.58833656,0.9945898,0.003796,1.05
2460212.58888124,0.9938818,0.003796,1.05
2460212.58946082,0.9968059,0.003796,1.05
2460212.5900173,0.9953016,0.003796,1.04
2460212.59059678,0.9984227,0.003796,1.04
2460212.59115317,0.9954062,0.003796,1.04
2460212.59173265,0.9978746,0.003796,1.04
2460212.59228903,0.9951692,0.003796,1.04
2460212.59288021,0.9954219,0.003796,1.04
2460212.5934249,0.9974645,0.003796,1.04
2460212.59401608,0.9978535,0.003796,1.04
2460212.59456096,1.0001185,0.003796,1.04
2460212.59515214,0.9958751,0.003796,1.04
2460212.59569693,0.9959389,0.003796,1.04
2460212.59628811,0.9994625,0.003796,1.04
2460212.59684439,0.9983835,0.003796,1.04
2460212.59742397,1.0003141,0.003796,1.04
2460212.59796875,0.9989627,0.003796,1.03
2460212.59857144,1.0011331,0.003796,1.03
2460212.59911622,1.0003379,0.003796,1.03
