reviewer,report_id,report_url,observation
Reviewer 05,7aff285f5477,7aff285f5477/,KELT-9 b
Reviewer 12,7aff285f5477,7aff285f5477/,KELT-9 b
Reviewer 07,1082662a0e1b,1082662a0e1b/,KELT-7 b
Reviewer 06,1082662a0e1b,1082662a0e1b/,KELT-7 b
Reviewer 03,6de8faffe354,6de8faffe354/,WASP-43 b
Reviewer 13,6de8faffe354,6de8faffe354/,WASP-43 b
Reviewer 14,205ea0542e79,205ea0542e79/,WASP-69 b
Reviewer 10,205ea0542e79,205ea0542e79/,WASP-69 b
Reviewer 04,fc160fa30583,fc160fa30583/,HAT-P-20 b
Reviewer 09,fc160fa30583,fc160fa30583/,HAT-P-20 b
Reviewer 01,c2418c16f670,c2418c16f670/,CoRoT-2 b
Reviewer 11,c2418c16f670,c2418c16f670/,CoRoT-2 b
Reviewer 08,908bab7d9a34,908bab7d9a34/,KELT-7 b
Reviewer 02,908bab7d9a34,908bab7d9a34/,KELT-7 b
Reviewer 03,f57ca48f45b1,f57ca48f45b1/,KELT-16 b
Reviewer 09,f57ca48f45b1,f57ca48f45b1/,KELT-16 b
Reviewer 08,e820263530f8,e820263530f8/,KELT-16 b
Reviewer 13,e820263530f8,e820263530f8/,KELT-16 b
Reviewer 06,1d30b9d50b1f,1d30b9d50b1f/,WASP-183 b
Reviewer 04,1d30b9d50b1f,1d30b9d50b1f/,WASP-183 b
Reviewer 11,8a6953695a29,8a6953695a29/,WASP-44 b
Reviewer 05,8a6953695a29,8a6953695a29/,WASP-44 b
Reviewer 10,30a1045b41d6,30a1045b41d6/,WASP-43 b
Reviewer 12,30a1045b41d6,30a1045b41d6/,WASP-43 b
Reviewer 01,72ac7ec3934d,72ac7ec3934d/,Qatar-1 b
Reviewer 14,72ac7ec3934d,72ac7ec3934d/,Qatar-1 b
Reviewer 07,b556547bae3a,b556547bae3a/,WASP-69 b
Reviewer 02,b556547bae3a,b556547bae3a/,WASP-69 b
Reviewer 14,cb001e7cffe3,cb001e7cffe3/,HAT-P-19 b
Reviewer 09,cb001e7cffe3,cb001e7cffe3/,HAT-P-19 b
Reviewer 04,3a9b55dbada2,3a9b55dbada2/,WASP-44 b
Reviewer 12,3a9b55dbada2,3a9b55dbada2/,WASP-44 b
Reviewer 02,f6a3c427603f,f6a3c427603f/,HAT-P-19 b
Reviewer 03,f6a3c427603f,f6a3c427603f/,HAT-P-19 b
Reviewer 11,bea607fd5c5f,bea607fd5c5f/,Qatar-10 b
Reviewer 05,bea607fd5c5f,bea607fd5c5f/,Qatar-10 b
Reviewer 08,ed679642cb2c,ed679642cb2c/,HAT-P-36 b
Reviewer 13,ed679642cb2c,ed679642cb2c/,HAT-P-36 b
Reviewer 10,c385d1360f1b,c385d1360f1b/,WASP-69 b
Reviewer 01,c385d1360f1b,c385d1360f1b/,WASP-69 b
Reviewer 06,37d825c9f4c5,37d825c9f4c5/,WASP-44 b
Reviewer 07,37d825c9f4c5,37d825c9f4c5/,WASP-44 b
Reviewer 07,6e3901c3bf20,6e3901c3bf20/,TrES-2 b
Reviewer 01,6e3901c3bf20,6e3901c3bf20/,TrES-2 b
Reviewer 12,f021b0b8c954,f021b0b8c954/,KELT-7 b
Reviewer 10,f021b0b8c954,f021b0b8c954/,KELT-7 b
Reviewer 02,07cd3b2e095f,07cd3b2e095f/,CoRoT-2 b
Reviewer 06,07cd3b2e095f,07cd3b2e095f/,CoRoT-2 b
Reviewer 05,c7a620b608b2,c7a620b608b2/,TrES-1 b
Reviewer 14,c7a620b608b2,c7a620b608b2/,TrES-1 b
Reviewer 03,49e84a8864cf,49e84a8864cf/,HAT-P-36 b
Reviewer 13,49e84a8864cf,49e84a8864cf/,HAT-P-36 b
Reviewer 11,8551ebcf2b2b,8551ebcf2b2b/,CoRoT-2 b
Reviewer 09,8551ebcf2b2b,8551ebcf2b2b/,CoRoT-2 b
Reviewer 04,80397ba74a62,80397ba74a62/,Qatar-1 b
Reviewer 08,80397ba74a62,80397ba74a62/,Qatar-1 b
Reviewer 08,b355d6fc4e32,b355d6fc4e32/,KELT-9 b
Reviewer 09,b355d6fc4e32,b355d6fc4e32/,KELT-9 b
Reviewer 13,e982b80982bf,e982b80982bf/,HAT-P-20 b
Reviewer 11,e982b80982bf,e982b80982bf/,HAT-P-20 b
Reviewer 05,94b8b3afe4c4,94b8b3afe4c4/,HD 189733 b
Reviewer 02,94b8b3afe4c4,94b8b3afe4c4/,HD 189733 b
Reviewer 07,b9ebcb58fd08,b9ebcb58fd08/,KELT-16 b
Reviewer 03,b9ebcb58fd08,b9ebcb58fd08/,KELT-16 b
Reviewer 10,32c2f941b5fd,32c2f941b5fd/,HD 189733 b
Reviewer 06,32c2f941b5fd,32c2f941b5fd/,HD 189733 b
Reviewer 12,bd0238c3fb4e,bd0238c3fb4e/,CoRoT-2 b
Reviewer 04,bd0238c3fb4e,bd0238c3fb4e/,CoRoT-2 b
Reviewer 14,a99f921eeca6,a99f921eeca6/,TrES-2 b
Reviewer 01,a99f921eeca6,a99f921eeca6/,TrES-2 b
Reviewer 09,239a36f48b44,239a36f48b44/,Qatar-1 b
Reviewer 02,239a36f48b44,239a36f48b44/,Qatar-1 b
Reviewer 03,7248e521f911,7248e521f911/,HD 189733 b
Reviewer 06,7248e521f911,7248e521f911/,HD 189733 b
Reviewer 14,ebcb738b87da,ebcb738b87da/,WASP-65 b
Reviewer 07,ebcb738b87da,ebcb738b87da/,WASP-65 b
Reviewer 12,3533afc979cf,3533afc979cf/,WASP-65 b
Reviewer 13,3533afc979cf,3533afc979cf/,WASP-65 b
Reviewer 05,020957ddb93b,020957ddb93b/,HAT-P-13 b
Reviewer 11,020957ddb93b,020957ddb93b/,HAT-P-13 b
Reviewer 04,43bf35b2ff0b,43bf35b2ff0b/,HAT-P-19 b
Reviewer 08,43bf35b2ff0b,43bf35b2ff0b/,HAT-P-19 b
Reviewer 01,ea9e6f65acbf,ea9e6f65acbf/,KELT-20 b
Reviewer 10,ea9e6f65acbf,ea9e6f65acbf/,KELT-20 b
